relative_path,format,geometry_blocks,atom_count,composition,ordered_elements_sha256,transition_metal_positions_1based,cat_id_from_filename,ps_id_from_filename,stage_from_filename,blank_line_count,metadata_line_count,parse_status
MD_configurations/cat-10_pho-28_initial.txt,headerless element-x-y-z,1,185,C:81;Cl:2;Cu:1;H:77;N:7;O:13;P:2;S:1;Zn:1,d84fd8ffc38a8fc5ca7036d8998a0d86d343e4f667fbb33c035632cfed71c3a8,Zn:54;Cu:61,10,28,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-29_final.txt,headerless element-x-y-z,1,152,C:64;Cl:2;Cu:1;H:65;N:7;O:10;P:2;Zn:1,5aff933091a628e8a45ba482b56c6aeee972b67731bf3aa0f7d5fe0f0447cf28,Zn:54;Cu:61,10,29,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-29_initial.txt,headerless element-x-y-z,1,152,C:64;Cl:2;Cu:1;H:65;N:7;O:10;P:2;Zn:1,5aff933091a628e8a45ba482b56c6aeee972b67731bf3aa0f7d5fe0f0447cf28,Zn:54;Cu:61,10,29,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-2_final.txt,headerless element-x-y-z,1,176,C:77;Cl:2;Cu:1;H:75;N:7;O:11;P:2;Zn:1,2e131bad14427d178440312fef58e03c90b255504789eb3f1da6f1e5cf2a7e55,Zn:54;Cu:61,10,2,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-2_initial.txt,headerless element-x-y-z,1,176,C:77;Cl:2;Cu:1;H:75;N:7;O:11;P:2;Zn:1,2e131bad14427d178440312fef58e03c90b255504789eb3f1da6f1e5cf2a7e55,Zn:54;Cu:61,10,2,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-30_final.txt,headerless element-x-y-z,1,155,C:65;Cl:2;Cu:1;H:67;N:7;O:10;P:2;Zn:1,ac931e71e361e8d1b24feccadf5fefd4bb9e18bfd7a042359ddd168afd159f45,Zn:54;Cu:61,10,30,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-30_initial.txt,headerless element-x-y-z,1,155,C:65;Cl:2;Cu:1;H:67;N:7;O:10;P:2;Zn:1,ac931e71e361e8d1b24feccadf5fefd4bb9e18bfd7a042359ddd168afd159f45,Zn:54;Cu:61,10,30,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-31_final.txt,headerless element-x-y-z,1,158,C:66;Cl:2;Cu:1;H:69;N:7;O:10;P:2;Zn:1,2e7211c6400a3a24bc4e975c174e7c4e1b178ec8c4f5177cd927ef7c5e9f9216,Zn:54;Cu:61,10,31,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-31_initial.txt,headerless element-x-y-z,1,158,C:66;Cl:2;Cu:1;H:69;N:7;O:10;P:2;Zn:1,2e7211c6400a3a24bc4e975c174e7c4e1b178ec8c4f5177cd927ef7c5e9f9216,Zn:54;Cu:61,10,31,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-32_final.txt,headerless element-x-y-z,1,159,C:69;Cl:2;Cu:1;H:67;N:7;O:10;P:2;Zn:1,8af08beaf3a2e2076a241b7b76d7ba0923c2c8f2eb14130332856b5f43011a83,Zn:54;Cu:61,10,32,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-32_initial.txt,headerless element-x-y-z,1,159,C:69;Cl:2;Cu:1;H:67;N:7;O:10;P:2;Zn:1,8af08beaf3a2e2076a241b7b76d7ba0923c2c8f2eb14130332856b5f43011a83,Zn:54;Cu:61,10,32,initial,0,0,all rows finite element-x-y-z
