coupling,row_block,n_rows,term,component,mean_absolute,rms,bias
J,last_100,100,cross,x,20.05925270411937,34.03570954864335,-1.0502765974392703
J,last_100,100,cross,y,10.389050965715356,15.525610681031827,1.3562687585748272
J,last_100,100,cross,z,5.456983668988309,9.554187514105418,-0.564213270762516
J,last_100,100,first,sum_xyz,153.1238307858169,232.11157483921045,-5.259342046017594
J,last_100,100,first,x,132.40694297044718,213.62645176473296,2.281881233922488
J,last_100,100,first,y,48.51969819379555,79.38774790974858,-7.674953348342739
J,last_100,100,first,z,24.54025058068049,39.56669343285517,0.1337300684026501
J,last_100,100,total,sum_xyz,144.68740766327358,216.92764717690466,-5.5175631556445675
J,last_100,100,total,x,129.46922822428945,199.49433266779016,1.2316046364832227
J,last_100,100,total,y,44.89413530288543,73.82829045210195,-6.318684589767912
J,last_100,100,total,z,23.3869015593199,36.74236851415103,-0.43048320235986615
Jstar,all_1000,1000,cat,sum_xyz,0.2248304546897836,0.37923856139943485,0.01573059699131275
Jstar,all_1000,1000,cat,x,0.18220726483538258,0.32209942593786367,0.02233172578331788
Jstar,all_1000,1000,cat,y,0.04871819538875232,0.10572018126215152,-0.00451427793553776
Jstar,all_1000,1000,cat,z,0.07701361150963523,0.12847978870642304,-0.0020868508564673718
Jstar,all_1000,1000,ps,sum_xyz,0.20694455618431593,0.36464541707318304,-0.0075453212217983555
Jstar,all_1000,1000,ps,x,0.1756112235840699,0.32156899915246573,-0.003765931498384619
Jstar,all_1000,1000,ps,y,0.04116909299838355,0.08011470161622417,0.0010826070655779864
Jstar,all_1000,1000,ps,z,0.05732297471368751,0.11929229875294155,-0.004861996788991722
Jstar,all_1000,1000,cross,sum_xyz,0.09519070191501512,0.1781877656859292,-0.007888272936073486
Jstar,all_1000,1000,cross,x,0.0775099291542099,0.14704007154616833,-0.005367814227087051
Jstar,all_1000,1000,cross,y,0.01792207827011623,0.04608516265196337,0.0018619806504690235
Jstar,all_1000,1000,cross,z,0.03469839385925626,0.07396763029907316,-0.004382439359455457
Jstar,all_1000,1000,first,sum_xyz,0.36107419370685623,0.5963737668997183,0.008185275769514397
Jstar,all_1000,1000,first,x,0.3057176143935919,0.5200086601497271,0.01856579428493326
Jstar,all_1000,1000,first,y,0.07887542718273712,0.14790192118883072,-0.0034316708699597747
Jstar,all_1000,1000,first,z,0.11412561063543833,0.19945776115581182,-0.006948847645459094
